Publisher,User`s Price,Best Price,Price Difference,Type,Category,AS,DR,Top Country,Organic Traffic,Ref Domains,Link Follow,Best Niche Prices,Best Seller 1st,Referral Link 1st,Price 1st,Rating 1st,Best Seller 2nd,Referral Link 2nd,Price 2nd,Rating 2nd,Best Seller 3rd,Referral Link 3rd,Price 3rd,Rating 3rd
360dopes.com,NaN,449,NaN,Link Insertion,"Movies, Music, Society",25,32,ng,4176,1948,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,449,,Assisted Purchase,,494,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,515,
4moles.com,NaN,120,NaN,Link Insertion,"Lifestyle, Society, Sports",31,31,in,19824,600,dofollow,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,120,8.5,Assisted Purchase,,140,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,598,
614now.com,NaN,1641,NaN,Link Insertion,"Food, News and Media",38,65,us,20404,5778,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,1641,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,1706,,Assisted Purchase,,1806,
aeroinside.com,NaN,435,NaN,Link Insertion,"Business, Finance, Travelling",37,32,uk,7453,1982,dofollow,,meup.com,https://meup.com/?ref=6807A674CEA1F,435,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,449,,Assisted Purchase,,479,
africanamericangolfersdigest.com,NaN,330,NaN,Link Insertion,"Culture, Music, Sports",27,52,us,1625,1638,dofollow,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,330,8.5,Assisted Purchase,,363,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,814,
afterschoolafrica.com,NaN,261,NaN,Link Insertion,"Career and Employment, Education, News and Media",29,46,ng,790,3829,dofollow,,guestpostlinks.net,https://guestpostlinks.net/ref/11/,261,8.5,Assisted Purchase,,288,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,297,8.5
agrifarming.in,NaN,720,NaN,Link Insertion,"Animals and Pets, Business, Hobbies and Leisure",36,56,in,8457,4293,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,720,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,785,,Assisted Purchase,,792,
agroclm.com,NaN,101,NaN,Link Insertion,"Business, Hobbies and Leisure, Travelling",29,43,es,3815,1850,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,101,,Assisted Purchase,,121,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,140,
allafrica.com,NaN,1356,NaN,Link Insertion,"Business, Education, Travelling",48,81,ma,12168,47273,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,1356,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,1438,,Assisted Purchase,,1492,
altcoinbuzz.io,NaN,1726,NaN,Link Insertion,"Business, Internet, Technology",39,62,us,2138,7307,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,1726,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,1791,,Assisted Purchase,,1899,
anydayguide.com,NaN,189,NaN,Link Insertion,"Lifestyle, Travelling",33,44,us,3261,2285,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,189,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,205,,Assisted Purchase,,209,
aprenderaprogramar.com,NaN,304,NaN,Link Insertion,"Programming, Software Development, Technology",26,27,mx,1525,1901,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,304,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,321,,Assisted Purchase,,335,
aquitaineonline.com,NaN,436,NaN,Link Insertion,"Music, Sports, Travelling",34,59,fr,17584,2345,dofollow,,guestpostlinks.net,https://guestpostlinks.net/ref/11/,436,8.5,Assisted Purchase,,480,,linkpublishers.com,https://dashboard.linkpublishers.com/register/MAX5A8405,502,8.0
au.advfn.com,NaN,1465,NaN,Link Insertion,"Business, Finance, Sports",64,73,uk,615097,26819,nofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,1465,,Assisted Purchase,,1612,,,,,
auburnpub.com,NaN,1431,NaN,Link Insertion,"Nature, Politics, Society",43,72,us,34018,9837,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,1431,,Assisted Purchase,,1575,,,,,
autocar.co.uk,NaN,14498,NaN,Link Insertion,"Automotive, News and Media",56,78,uk,321315,55176,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,14498,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,14563,,Assisted Purchase,,15948,
1001beach.com,NaN,271,NaN,Link Insertion,"Nature, Travelling",38,44,gr,9217,2270,dofollow,,prnews.io,https://prnews.io/sites?i=3738683,271,10.0,Assisted Purchase,,299,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,360,8.5
614now.com,NaN,1510,NaN,Guest Post,"Food, News and Media",38,65,us,20404,5778,dofollow,,prnews.io,https://prnews.io/sites?i=3738683,1510,10.0,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,1641,,Assisted Purchase,,1661,
aglasem.com,NaN,359,NaN,Link Insertion,"Education, Finance, Technology",57,48,in,575101,10754,dofollow,,prnews.io,https://prnews.io/sites?i=3738683,359,10.0,Assisted Purchase,,395,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,615,8.5
appsgeyser.com,NaN,105,NaN,Link Insertion,"Mobile, Software Development, Technology",41,74,in,45157,19712,dofollow,,prnews.io,https://prnews.io/sites?i=3738683,105,10.0,Assisted Purchase,,125,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,165,8.5
businesslist.pk,NaN,423,NaN,Link Insertion,"Business, Internet, Marketing and Advertising",27,42,pk,7956,6797,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,423,,Assisted Purchase,,466,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,488,
amagicalmess.com,NaN,330,NaN,Link Insertion,"Books, Food, Home and Family",33,48,us,5201,3966,dofollow,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,330,8.5,Assisted Purchase,,363,,,,,
indianretailer.com,NaN,124,NaN,Link Insertion,"Business, Fashion, Sports",44,73,in,82269,5480,dofollow,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,124,8.5,Assisted Purchase,,144,,meup.com,https://meup.com/?ref=6807A674CEA1F,351,
1001beach.com,NaN,199,NaN,Guest Post,"Nature, Travelling",38,44,gr,9217,2270,dofollow,"Casino - 490, Finance&Trading - 490, Dating - 490",adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,199,8.5,prposting.com,https://prposting.com/ref/RnK1lLPr,200,6.5,Assisted Purchase,,219,
24-7pressrelease.com,NaN,60,NaN,Guest Post,"Business, Music, Technology",39,79,us,6998,21967,nofollow,"Casino - 226, Finance&Trading - 226, Dating - 226",adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,60,8.5,prnews.io,https://prnews.io/sites?i=3738683,74,10.0,Assisted Purchase,,80,
36ng.ng,NaN,225,NaN,Guest Post,"Culture, Hobbies and Leisure, Music",26,26,ng,4832,2650,dofollow,"Casino - 441, Finance&Trading - 441, Dating - 441",prnews.io,https://prnews.io/sites?i=3738683,225,10.0,Assisted Purchase,,248,,collaborator.pro,https://collaborator.pro/?ref=quRNI8,306,9.0
aeroinside.com,NaN,390,NaN,Guest Post,"Business, Finance, Travelling",37,32,uk,7453,1982,dofollow,"Casino - 799, Finance&Trading - 799, Dating - 799, Crypto - 390",prposting.com,https://prposting.com/ref/RnK1lLPr,390,6.5,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,412,8.5,Assisted Purchase,,429,
africanamericangolfersdigest.com,NaN,358,NaN,Guest Post,"Culture, Music, Sports",27,52,us,1625,1638,dofollow,"Casino - 650, Finance&Trading - 761.1, Dating - 761.1, Crypto - 650, CBD - 761.1",prposting.com,https://prposting.com/ref/RnK1lLPr,358,6.5,Assisted Purchase,,394,,whitepress.com,https://www.whitepress.com/gihka,483,
afterschoolafrica.com,NaN,261,NaN,Guest Post,"Career and Employment, Education, News and Media",29,46,ng,790,3829,dofollow,"Finance&Trading - 395, Crypto - 395",guestpostlinks.net,https://guestpostlinks.net/ref/11/,261,8.5,prnews.io,https://prnews.io/sites?i=3738683,270,10.0,Assisted Purchase,,288,
agassizharrisonobserver.com,NaN,449,NaN,Guest Post,"Nature, News and Media, Politics",29,41,ca,2955,1601,dofollow,"Casino - 771, Finance&Trading - 771, Dating - 771",prnews.io,https://prnews.io/sites?i=3738683,449,10.0,Assisted Purchase,,494,,collaborator.pro,https://collaborator.pro/?ref=quRNI8,521,9.0
agrifarming.in,NaN,493,NaN,Guest Post,"Animals and Pets, Business, Hobbies and Leisure",36,56,in,8457,4293,dofollow,,prnews.io,https://prnews.io/sites?i=3738683,493,10.0,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,516,8.5,bazoom.com,https://app.bazoom.com/refer?ref=aSVUVs3AXAKnoqqa,531,7.5
agroclm.com,NaN,77,NaN,Guest Post,"Business, Hobbies and Leisure, Travelling",29,43,es,3815,1850,dofollow,"Casino - 153.62, Finance&Trading - 147.5, CBD - 147.5, Crypto - 289.1, Medicine - 525",prposting.com,https://prposting.com/ref/RnK1lLPr,77,6.5,Assisted Purchase,,97,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,101,
allafrica.com,NaN,740,NaN,Guest Post,"Business, Education, Travelling",48,81,ma,12168,47273,dofollow,"Casino - 1693.3, Finance&Trading - 1410.1, Adult - 1298, Dating - 1298, Crypto - 1410.1",backlinked.com,https://backlinked.com?ref=otjmnzu,740,5.5,prnews.io,https://prnews.io/sites?i=3738683,747,10.0,ereferer.com,https://ereferer.com,793,3.0
anydayguide.com,NaN,82,NaN,Guest Post,"Lifestyle, Travelling",33,44,us,3261,2285,dofollow,,prposting.com,https://prposting.com/ref/RnK1lLPr,82,6.5,Assisted Purchase,,102,,whitepress.com,https://www.whitepress.com/gihka,106,
appsgeyser.com,NaN,120,NaN,Guest Post,"Mobile, Software Development, Technology",41,74,in,45157,19712,dofollow,,collaborator.pro,https://collaborator.pro/?ref=quRNI8,120,9.0,Assisted Purchase,,140,,prnews.io,https://prnews.io/sites?i=3738683,180,10.0
aprenderaprogramar.com,NaN,167,NaN,Guest Post,"Programming, Software Development, Technology",26,27,mx,1525,1901,dofollow,"Casino - 326, Finance&Trading - 326, Dating - 326",prnews.io,https://prnews.io/sites?i=3738683,167,10.0,prposting.com,https://prposting.com/ref/RnK1lLPr,173,6.5,Assisted Purchase,,187,
aquitaineonline.com,NaN,312,NaN,Guest Post,"Music, Sports, Travelling",34,59,fr,17584,2345,dofollow,"Casino - 690, Finance&Trading - 690, Dating - 690",adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,312,8.5,whitepress.com,https://www.whitepress.com/gihka,342,,Assisted Purchase,,344,
ballstatedaily.com,NaN,236,NaN,Guest Post,"Movies, Nature, Sports",35,51,us,4154,3435,dofollow,"Casino - 1646.1, Finance&Trading - 1646.1, Crypto - 1646.1",ereferer.com,https://ereferer.com,236,3.0,Assisted Purchase,,260,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,293,
beatricedailysun.com,NaN,845,NaN,Guest Post,"Music, Nature, Politics",33,52,us,5645,4042,dofollow,"CBD - 854.9, Crypto - 854.9",prposting.com,https://prposting.com/ref/RnK1lLPr,845,6.5,guestpostlinks.net,https://guestpostlinks.net/ref/11/,855,8.5,meup.com,https://meup.com/?ref=6807A674CEA1F,910,
beritabali.com,NaN,225,NaN,Guest Post,"Culture, News and Media, Society",35,43,id,11996,2937,dofollow,Finance&Trading - 456,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,225,8.5,Assisted Purchase,,248,,prnews.io,https://prnews.io/sites?i=3738683,299,10.0
bestbeginnermotorcycles.com,NaN,561,NaN,Guest Post,"Automotive, Sports, Transportation",39,41,us,27568,5071,dofollow,,prnews.io,https://prnews.io/sites?i=3738683,561,10.0,Assisted Purchase,,618,,meup.com,https://meup.com/?ref=6807A674CEA1F,638,
betrush.com,NaN,242,NaN,Guest Post,"Entertainment, Sports",38,45,ro,1672,10947,dofollow,"Casino - 241.9, Finance&Trading - 399, Dating - 399",bazoom.com,https://app.bazoom.com/refer?ref=aSVUVs3AXAKnoqqa,242,7.5,prnews.io,https://prnews.io/sites?i=3738683,250,10.0,Assisted Purchase,,267,
bigeye.ug,NaN,180,NaN,Guest Post,"Business, Entertainment, Lifestyle",12,37,au,0,1707,dofollow,"Casino - 212.4, Finance&Trading - 212.4, Dating - 212.4, Adult - 212.4, CBD - 212.4, Crypto - 212.4",prnews.io,https://prnews.io/sites?i=3738683,180,10.0,Assisted Purchase,,200,,meup.com,https://meup.com/?ref=6807A674CEA1F,209,
bitcoinworld.co.in,NaN,299,NaN,Guest Post,"Business, Finance, Technology",44,66,us,27906,9822,dofollow,"Casino - 332.9, Finance&Trading - 400, Crypto - 332.9, CBD - 332.9",prnews.io,https://prnews.io/sites?i=3738683,299,10.0,collaborator.pro,https://collaborator.pro/?ref=quRNI8,300,9.0,guestpostlinks.net,https://guestpostlinks.net/ref/11/,333,8.5
bitcu.co,NaN,75,NaN,Guest Post,"Finance, Games, Technology",31,73,mx,5920,1593,dofollow,"Crypto - 130.9, Casino - 340, Finance&Trading - 169",adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,75,8.5,prnews.io,https://prnews.io/sites?i=3738683,90,10.0,Assisted Purchase,,95,
blockchainreporter.net,NaN,359,NaN,Guest Post,"Business, Internet, Technology",50,71,us,157779,11153,dofollow,"Casino - 675, Finance&Trading - 675, CBD - 675, Crypto - 675, Adult - 675, Dating - 675, Medicine - 675",prnews.io,https://prnews.io/sites?i=3738683,359,10.0,prnews.io,https://prnews.io/sites?i=3738683,539,10.0,collaborator.pro,https://collaborator.pro/?ref=quRNI8,557,9.0
blogbuz.co.uk,NaN,27,NaN,Guest Post,"Business, Fashion, Technology",30,56,us,8775,4633,dofollow,"Finance&Trading - 100, Adult - 156, Crypto - 156, CBD - 454.3",adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,27,8.5,collaborator.pro,https://collaborator.pro/?ref=quRNI8,30,9.0,prnews.io,https://prnews.io/sites?i=3738683,34,10.0
boringmagazine.com,NaN,30,NaN,Guest Post,"Games, Movies, Sports",25,57,us,603,1050,dofollow,"Casino - 117.9, Finance&Trading - 306, CBD - 117.9, Crypto - 117.9",prnews.io,https://prnews.io/sites?i=3738683,30,10.0,guestpostlinks.net,https://guestpostlinks.net/ref/11/,42,8.5,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,45,8.5
brila.net,NaN,260,NaN,Guest Post,"Games, News and Media, Sports",39,37,ca,3064,3431,dofollow,,prposting.com,https://prposting.com/ref/RnK1lLPr,260,6.5,whitepress.com,https://www.whitepress.com/gihka,266,,ereferer.com,https://ereferer.com,282,3.0
brusselstimes.com,NaN,2450,NaN,Guest Post,"Business, News and Media, Technology",45,79,be,27732,24481,dofollow,,collaborator.pro,https://collaborator.pro/?ref=quRNI8,2450,9.0,prnews.io,https://prnews.io/sites?i=3738683,2647,10.0,Assisted Purchase,,2695,
businessnewsthisweek.com,NaN,53,NaN,Guest Post,"Business, Finance, Technology",45,74,in,3218,7815,dofollow,"Casino - 199, Finance&Trading - 277.3, CBD - 277.3, Crypto - 277.3",adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,53,8.5,prnews.io,https://prnews.io/sites?i=3738683,58,10.0,Private Seller,,66,
candysdirt.com,NaN,1606,NaN,Guest Post,"Construction and Repairs, Hobbies and Leisure, Home and Family",36,65,us,12306,4829,dofollow,,prnews.io,https://prnews.io/sites?i=3738683,1606,10.0,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,1745,,Assisted Purchase,,1767,
chipmonkbaking.com,NaN,225,NaN,Guest Post,"E-commerce, Food, Health and Medicine",23,37,us,1443,397,dofollow,"Casino - 446, Finance&Trading - 446, Dating - 446",prnews.io,https://prnews.io/sites?i=3738683,225,10.0,Assisted Purchase,,248,,collaborator.pro,https://collaborator.pro/?ref=quRNI8,306,9.0
coastradar.com,NaN,115,NaN,Guest Post,"Society, Sports, Travelling",33,37,uk,15341,713,dofollow,,prposting.com,https://prposting.com/ref/RnK1lLPr,115,6.5,prnews.io,https://prnews.io/sites?i=3738683,122,10.0,Assisted Purchase,,129,
coinedition.com,NaN,329,NaN,Guest Post,"Internet, Sports, Technology",45,63,fr,38064,6092,dofollow,,prnews.io,https://prnews.io/sites?i=3738683,329,10.0,Assisted Purchase,,362,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,742,8.5
contilnetnoticias.com.br,NaN,90,NaN,Guest Post,"Business, Entertainment, News and Media",37,48,br,51443,3980,dofollow,"Casino - 163, Finance&Trading - 163, Dating - 163, CBD - 163, Crypto - 163, Adult - 163, Medicine - 163",prnews.io,https://prnews.io/sites?i=3738683,90,10.0,collaborator.pro,https://collaborator.pro/?ref=quRNI8,95,9.0,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,99,8.5
360dopes.com,NaN,150,NaN,Guest Post,"Movies, Music, Society",25,32,ng,4176,1948,dofollow,"Casino - 428, Crypto - 483.8, Finance&Trading - 428, Dating - 428",prnews.io,https://prnews.io/sites?i=3738683,150,10.0,Assisted Purchase,,170,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,297,8.5
4moles.com,NaN,414,NaN,Guest Post,"Lifestyle, Society, Sports",31,31,in,19824,600,dofollow,"Casino - 955.8, Finance&Trading - 955.8, Adult - 955.8, Dating - 955.8, CBD - 955.8, Crypto - 955.8",prnews.io,https://prnews.io/sites?i=3738683,414,10.0,collaborator.pro,https://collaborator.pro/?ref=quRNI8,455,9.0,Assisted Purchase,,456,
abovethelaw.com,NaN,1399,NaN,Guest Post,"Business, Finance, Law",52,79,us,68618,25936,dofollow,"Dating - 7805.7, Crypto - 7805.7, Finance&Trading - 7805.7",adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,1399,8.5,Assisted Purchase,,1539,,whitepress.com,https://www.whitepress.com/gihka,7618,
aglasem.com,NaN,433,NaN,Guest Post,"Education, Finance, Technology",57,48,in,575101,10754,dofollow,"Casino - 574.9, CBD - 574.9, Crypto - 520, Finance&Trading - 600, Adult - 600, Dating - 600, Medicine - 600",guestpostlinks.net,https://guestpostlinks.net/ref/11/,433,8.5,prnews.io,https://prnews.io/sites?i=3738683,449,10.0,prposting.com,https://prposting.com/ref/RnK1lLPr,520,6.5
altcoinbuzz.io,NaN,1180,NaN,Guest Post,"Business, Internet, Technology",39,62,us,2138,7307,dofollow,"Casino - 1563.5, Finance&Trading - 1563.5, CBD - 1563.5, Crypto - 1563.5",prnews.io,https://prnews.io/sites?i=3738683,1180,10.0,Assisted Purchase,,1298,,bazoom.com,https://app.bazoom.com/refer?ref=aSVUVs3AXAKnoqqa,1564,7.5
amagicalmess.com,NaN,750,NaN,Guest Post,"Books, Food, Home and Family",33,48,us,5201,3966,dofollow,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,750,8.5,Assisted Purchase,,825,,prnews.io,https://prnews.io/sites?i=3738683,1179,10.0
amny.com,NaN,6520,NaN,Guest Post,News and Media,50,80,us,194737,42689,nofollow,,bazoom.com,https://app.bazoom.com/refer?ref=aSVUVs3AXAKnoqqa,6520,7.5,Assisted Purchase,,7172,,,,,
architectsjournal.co.uk,NaN,5727,NaN,Guest Post,"Business, Fashion, Home and Family",44,78,uk,29964,13252,dofollow,,prposting.com,https://prposting.com/ref/RnK1lLPr,5727,6.5,Assisted Purchase,,6300,,,,,
ucatholic.com,NaN,300,NaN,Link Insertion,"Home and Family, Music, Society",34,53,us,4798,3133,dofollow,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,300,8.5,Assisted Purchase,,330,,,,,
crew-center.com,NaN,198,NaN,Link Insertion,"Society, Sports, Travelling",36,47,us,3930,5801,dofollow,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,198,8.5,Assisted Purchase,,218,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,645,
ballstatedaily.com,NaN,374,NaN,Link Insertion,"Movies, Nature, Sports",35,51,us,4154,3435,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,374,,Assisted Purchase,,412,,,,,
blockchainreporter.net,NaN,308,NaN,Link Insertion,"Business, Internet, Technology",50,71,us,157779,11153,dofollow,,prnews.io,https://prnews.io/sites?i=3738683,308,10.0,Assisted Purchase,,358,,meup.com,https://meup.com/?ref=6807A674CEA1F,375,
businesslane.ca,NaN,42,NaN,Link Insertion,"Business, Home and Family, Shopping",7,24,ca,0,1066,dofollow,"Casino - 117.9, CBD - 88.9, Crypto - 88.9",guestpostlinks.net,https://guestpostlinks.net/ref/11/,42,8.5,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,62,,Assisted Purchase,,62,
buzz4ai.com,NaN,81,NaN,Link Insertion,"Marketing and Advertising, Software Development, Technology",18,60,in,891,884,dofollow,,linkpublishers.com,https://dashboard.linkpublishers.com/register/MAX5A8405,81,8.0,prnews.io,https://prnews.io/sites?i=3738683,83,10.0,Assisted Purchase,,101,
carasutra.com,NaN,607,NaN,Link Insertion,"Fashion, Games, Transportation",34,43,us,9314,2485,dofollow,,prnews.io,https://prnews.io/sites?i=3738683,607,10.0,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,658,8.5,Assisted Purchase,,668,
