Publisher,User`s Price,Best Price,Price Difference,Type,Category,AS,DR,Top Country,Organic Traffic,Ref Domains,Link Follow,Best Niche Prices,Best Seller 1st,Referral Link 1st,Price 1st,Rating 1st,Best Seller 2nd,Referral Link 2nd,Price 2nd,Rating 2nd,Best Seller 3rd,Referral Link 3rd,Price 3rd,Rating 3rd
cnbctv18.com,NaN,487,NaN,Link Insertion,"Business, News and Media, Sports",78,82,in,6956479,36887,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,487,,Assisted Purchase,,536,,,,,
au.rollingstone.com,NaN,2349,NaN,Link Insertion,News and Media,80,90,us,6929979,266814,dofollow,,meup.com,https://meup.com/?ref=6807A674CEA1F,2349,,Assisted Purchase,,2584,,,,,
azcentral.com,NaN,5642,NaN,Link Insertion,"Business, Nature, News and Media",72,86,us,2760541,121633,nofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,5642,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,5691,,Assisted Purchase,,6207,
adamtheautomator.com,NaN,10746,NaN,Guest Post,"Education, Mobile",32,62,us,1651,3137,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,10746,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,10811,,Assisted Purchase,,11821,
aicontentfy.com,NaN,236,NaN,Guest Post,"Culture, Entertainment, Travelling",31,74,us,228,5585,dofollow,,ereferer.com,https://ereferer.com,236,3.0,Assisted Purchase,,260,,guestpostlinks.net,https://guestpostlinks.net/ref/11/,347,8.5
akashrajpurohit.com,NaN,165,NaN,Guest Post,"Personal Blogs, Programming, Technology",28,39,us,1706,831,dofollow,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,165,8.5,whitepress.com,https://www.whitepress.com/gihka,193,,meup.com,https://meup.com/?ref=6807A674CEA1F,209,
androidguys.com,NaN,144,NaN,Link Insertion,"Art, Games, Technology",36,69,us,2593,11883,dofollow,,linkpublishers.com,https://dashboard.linkpublishers.com/register/MAX5A8405,144,8.0,Assisted Purchase,,164,,prnews.io,https://prnews.io/sites?i=3738683,225,10.0
anyleads.com,NaN,148,NaN,Guest Post,Marketing and Advertising,31,51,us,1591,991,dofollow,,bazoom.com,https://app.bazoom.com/refer?ref=aSVUVs3AXAKnoqqa,148,7.5,Assisted Purchase,,168,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,195,
anzmh.asn.au,NaN,226,NaN,Guest Post,Finance,32,59,us,1325,1383,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,226,,Assisted Purchase,,249,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,291,
applebeeeshappyhour.com,NaN,26,NaN,Guest Post,"Food, Lifestyle, Society",14,51,us,34,2213,dofollow,"Casino - 41.9, CBD - 41.9, Crypto - 41.9, Finance&Trading - 165.2",prposting.com,https://prposting.com/ref/RnK1lLPr,26,6.5,guestpostlinks.net,https://guestpostlinks.net/ref/11/,29,8.5,ereferer.com,https://ereferer.com,41,3.0
appypie.com,NaN,401,NaN,Guest Post,"Art, Internet, Technology",49,83,in,21615,18815,dofollow,,ereferer.com,https://ereferer.com,401,3.0,Assisted Purchase,,442,,,,,
arthurwears.com,NaN,230,NaN,Link Insertion,"For Children, Home and Family, Lifestyle",26,34,uk,1380,387,dofollow,,meup.com,https://meup.com/?ref=6807A674CEA1F,230,,prnews.io,https://prnews.io/sites?i=3738683,302,10.0,Assisted Purchase,,395,
ask-oracle.com,NaN,492,NaN,Link Insertion,"Lifestyle, Science, Society",37,46,us,35584,9462,dofollow,,prnews.io,https://prnews.io/sites?i=3738683,492,10.0,Assisted Purchase,,542,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,956,
avpgalaxy.net,NaN,632,NaN,Link Insertion,"Business, News and Media, Sports",41,49,us,22911,4602,dofollow,"Casino - 1050, Finance&Trading - 1339.3, Dating - 1339.3, Crypto - 1339.3",linkpublishers.com,https://dashboard.linkpublishers.com/register/MAX5A8405,632,8.0,Assisted Purchase,,696,,adsy.com,https://ref.adsy.com/?ref=referral&ref_type=direct&ref_id=n1dzdtkv28djc7uh&ref_item=3,763,8.5
awajis.com,NaN,576,NaN,Guest Post,"Career and Employment, Construction and Repairs, Home and Family",33,42,ng,24866,2457,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,576,,Assisted Purchase,,634,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,642,
aws.plainenglish.io,NaN,814,NaN,Guest Post,"Finance, Games, Mobile",53,76,us,55661,18783,dofollow,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,814,,serpzilla.com,https://serpzilla.com/r.JkZYyVIMKu.php,879,,Assisted Purchase,,896,
digitaltrends.com,NaN,3049,NaN,Link Insertion,"Computers, Games, Technology",55,89,us,223748,163616,dofollow,,meup.com,https://meup.com/?ref=6807A674CEA1F,3049,,Assisted Purchase,,3354,,,,,
007soccerpicks.com,NaN,488,NaN,Guest Post,Sports,28,49,ng,1086,3972,dofollow,"Casino - 914.5, CBD - 914.5, Crypto - 914.5, Finance&Trading - 914.5",meup.com,https://meup.com/?ref=6807A674CEA1F,488,,Assisted Purchase,,537,,bazoom.com,https://app.bazoom.com/refer?ref=aSVUVs3AXAKnoqqa,915,7.5
academy.wedio.com,NaN,459,NaN,Guest Post,"Hobbies and Leisure, Movies, Technology",46,59,us,53152,2533,dofollow,"Casino - 5109.4, Finance&Trading - 5109.4, Adult - 5109.4, Dating - 5109.4, CBD - 5109.4, Crypto - 5109.4",ereferer.com,https://ereferer.com,459,3.0,Assisted Purchase,,505,,bazoom.com,https://app.bazoom.com/refer?ref=aSVUVs3AXAKnoqqa,614,7.5
